,EXPERIMENT,LOCATION,VARIETY,FAMILY,CHECK,RM,REPNO,YIELD,CLASS_OF,GRAD
694,95,103,15,24,0,3.7,1,68.1337202,2011,0
695,95,103,15,24,0,3.7,2,74.8365336,2011,0
1263,95,103,19,1,0,3.8,1,48.0276593,2011,0
1264,95,103,19,1,0,3.8,2,52.4971433,2011,0
1379,198,48,74,29,0,2.1,1,61.9242944,2011,1
1380,198,48,74,29,0,2.1,2,66.9426311,2011,1
1415,198,48,75,38,0,2.1,1,54.9561997,2011,1
1416,198,48,75,38,0,2.1,2,55.1584321,2011,1
1451,95,103,23,45,0,2.1,1,50.4189084,2011,1
1452,95,103,23,45,0,2.1,2,52.7375917,2011,1
1487,198,48,80,29,0,2.1,1,46.0781988,2011,1
1488,198,48,80,29,0,2.1,2,42.6891709,2011,1
1523,95,103,82,40,0,2.1,1,48.6864015,2011,1
1524,95,103,82,40,0,2.1,2,51.675723,2011,1
1559,198,50,4,30,0,2.1,1,41.5514652,2011,1
1560,198,50,4,30,0,2.1,2,48.8107149,2011,1
1595,198,50,5,31,0,2.1,1,52.607925,2011,1
1596,198,50,5,31,0,2.1,2,52.273052,2011,1
1631,198,50,13,23,0,2.1,1,58.0818794,2011,1
1632,198,50,13,23,0,2.1,2,55.9593317,2011,1
3353,309,104,22,44,0,3.0,1,70.0321766,2013,0
3354,309,104,22,44,0,3.0,2,66.9048612,2013,0
3425,309,104,82,40,0,3.0,1,53.0831711,2013,0
3426,309,104,82,40,0,3.0,2,63.4673571,2013,0
3497,95,105,15,24,0,3.0,1,59.9804844,2013,0
3498,95,105,15,24,0,3.0,2,59.6456114,2013,0
3565,95,105,19,1,0,3.0,1,62.5488355,2013,0
3566,95,105,19,1,0,3.0,2,49.1457366,2013,0
3637,198,50,74,29,0,3.0,1,73.3279694,2013,0
3638,198,50,74,29,0,3.0,2,82.9728176,2013,0
4415,198,50,75,38,0,2.0,1,44.9724636,2012,0
4416,198,50,75,38,0,2.0,2,50.4189084,2012,0
4487,95,105,23,45,0,2.0,1,47.0230403,2012,0
4488,95,105,23,45,0,2.0,2,48.1409689,2012,0
4555,198,50,80,29,0,2.2,1,53.4422823,2011,0
4556,198,50,80,29,0,2.2,2,59.3934158,2011,0
4627,95,105,82,40,0,2.2,1,48.0276593,2011,0
4628,95,105,82,40,0,2.2,2,42.4453025,2011,0
4666,198,51,4,30,0,2.2,2,66.0681248,2011,0
5063,198,51,4,30,0,2.8,1,64.3052831,2011,0
5134,198,51,5,31,0,2.8,1,69.9135138,2011,0
5135,198,51,5,31,0,2.8,2,69.9135138,2011,0
5347,198,51,13,23,0,2.7,1,52.895214,2011,1
5348,198,51,13,23,0,2.7,2,57.3563708,2011,1
5415,95,109,15,24,0,2.7,1,70.9877245,2011,1
5416,95,109,15,24,0,2.7,2,69.9135138,2011,1
5703,309,110,22,44,0,2.7,1,72.3951726,2011,0
5704,309,110,22,44,0,2.7,2,69.9050378,2011,0
5775,95,109,19,1,0,2.7,1,64.9327982,2011,0
5776,95,109,19,1,0,2.7,2,64.5362146,2011,0
6053,198,51,74,29,0,3.1,1,66.8981697,2011,0
6054,198,51,74,29,0,3.1,2,74.6771269,2011,0
6055,198,51,75,38,0,3.3,1,63.1641572,2011,0
6056,198,51,75,38,0,3.3,2,69.0749929,2011,0
6125,95,109,23,45,0,3.1,1,85.545481,2011,0
6126,95,109,23,45,0,3.1,2,81.0870008,2011,0
6127,198,51,80,29,0,3.3,1,78.6438553,2011,0
6128,198,51,80,29,0,3.3,2,72.0155408,2011,0
7352,95,109,82,40,0,3.1,1,61.6549982,2012,0
7353,95,109,82,40,0,3.1,2,58.0818794,2012,0
7424,198,53,4,30,0,3.1,1,70.7350828,2012,0
